participant,C1,C2,C3,C4,C5,C6,final_score,rank,status
Преп-Центр,5,5,5,4,5,5,97,1,FROZEN
Yunu,5,5,5,4,4,3,89,2,FROZEN
LOGIDEX,5,4,5,3,5,3,84,3,FROZEN
fulfil.pro,4,4,3,5,4,5,83,4,FROZEN
Full-Fix,3,5,2,4,5,5,78,5,FROZEN
Fulllog,3,5,5,3,5,3,78,6,FROZEN
Fulfilment-E,3,4,4,4,4,5,78,7,FROZEN
ОператороФФ,4,5,2,2,5,5,77,8,FROZEN
Будет сделано!,5,4,5,2,4,2,76,9,FROZEN
UPMARKET,2,5,5,3,4,4,74,10,FROZEN
ФУЛФИЛМЕНТ и ТОЧКА,5,3,4,2,4,3,72,11,FROZEN
Helpberries,3,4,2,3,5,5,71,12,FROZEN
СДЭК Фулфилмент,2,4,4,5,4,3,70,13,FROZEN
Ellsa,3,4,2,4,4,3,66,14,FROZEN
ФуллБокс,3,3,4,3,4,3,65,15,FROZEN
SkladBot,2,4,2,3,4,4,61,16,FROZEN
FulFillYou,2,2,1,5,4,5,59,17,FROZEN
Easyful,2,4,3,2,4,3,58,18,FROZEN
