claim_id,entity,claim,source_id,evidence_excerpt_or_field,confidence,used_in_readme,used_in_score,notes
CL001,Преп-Центр,Поддерживает FBS на Wildberries и Ozon из одного физического остатка,S003,единый физический остаток; WB/Ozon/ЯМ,high,yes,yes,
CL002,Преп-Центр,FBS-отгрузки выполняются ежедневно не менее 2 раз в день,S003,строки 52–56 и FAQ,high,yes,yes,
CL003,Преп-Центр,WMS автоматически получает заказы и актуализирует общий остаток между площадками,S003,разделы о едином остатке и WMS,high,yes,yes,
CL004,Преп-Центр,"FBS-приемка стоит 10 ₽/ед., сборка и доставка заказа до 1 л 35 ₽",S004,раздел FBS,high,yes,yes,
CL005,Преп-Центр,Производительность до 20 000 единиц за 12-часовую смену,S002,цифры компании,high,yes,yes,
CL006,Преп-Центр,Контроль включает ответственное хранение и более 75 ракурсов видеонаблюдения,S002,цифры и контроль склада,medium,yes,yes,"уровень C6 учитывает набор контролей, а не отдельное маркетинговое обещание"
CL007,Yunu,"WB отгружается 3 раза в сутки, Ozon 2 раза в сутки",S010,таблица частоты,high,yes,yes,
CL008,Yunu,Ежедневно обрабатывает более 5000 FBS-заказов,S009,главная страница,high,yes,yes,
CL009,Yunu,"FBS-отгрузка стоит от 16 ₽ и включает сборку, упаковку и сдачу",S011,тарифы,high,yes,yes,
CL010,Yunu,Заказы обрабатываются автоматически и отслеживаются по статусам,S010,описание процесса,high,yes,yes,
CL011,LOGIDEX,"Делает 2 FBS-отгрузки в день в WB и Ozon, средний цикл около 12 часов",S013,параметры FBS,high,yes,yes,
CL012,LOGIDEX,CRM забирает заказы WB/Ozon через API каждые несколько минут,S013,шаг 1,high,yes,yes,
CL013,LOGIDEX,"Публичные ставки: сборка от 15 ₽, упаковка от 9 ₽, КИЗ 5 ₽",S013,раздел тарифов,high,yes,yes,
CL014,fulfil.pro,"Интегрирован с WB/Ozon по API, остатки обновляются в реальном времени",S016,процесс FBS,high,yes,yes,
CL015,fulfil.pro,WB: от 2 плановых рейсов в день; Ozon: ежедневный рейс,S016,этап передачи заказов,high,yes,yes,
CL016,fulfil.pro,Мощность до 120 000 единиц в сутки,S015,главная,high,yes,yes,
CL017,fulfil.pro,Заявляет полную материальную ответственность по договору и видеозапись этапов,S015,преимущества,high,yes,yes,
CL018,Full-Fix,Поддерживает FBS на WB и Ozon,S018,главная,high,yes,yes,
CL019,Full-Fix,"WMS синхронизирует заказы, остатки и товары WB/Ozon в одной системе",S019,FAQ WMS,high,yes,yes,
CL020,Full-Fix,Для Ozon заявляет договор с материальной ответственностью и компенсацию штрафов по вине оператора,S020,гарантии страницы,high,yes,yes,
CL021,Full-Fix,Склад 2000 м² работает 24/7,S018,главная,high,yes,yes,
CL022,Fulllog,"Принимает FBS-заказы по API из трех кабинетов, остаток один на площадки",S023,раздел ежедневной физики,high,yes,yes,
CL023,Fulllog,"Ежедневно возит FBS на WB, Ozon и Яндекс Маркет",S023,описание процесса,high,yes,yes,
CL024,Fulllog,"Публичные ставки: сборка 9 ₽, WB 20 ₽, Ozon 25 ₽, хранение 89 ₽/м³/сутки",S024,калькулятор,high,yes,yes,
CL025,Fulllog,"Единый сток работает на WB, Ozon, Яндекс Маркет и интернет-магазин",S025,раздел один склад,high,yes,yes,
CL026,Fulfilment-E,Работает по FBS/FBO с WB и Ozon,S026,главная,high,yes,yes,
CL027,Fulfilment-E,Производственная мощность до 20 000 товаров в сутки,S026,главная,high,yes,yes,
CL028,Fulfilment-E,Заявляет полную материальную ответственность и 100% видеопокрытие,S026,преимущества,high,yes,yes,
CL029,ОператороФФ,"FBS работает с WB, Ozon и Яндекс Маркет с одного склада",S029,описание FBS,high,yes,yes,
CL030,ОператороФФ,WB отгружается 2 раза в день; Ozon ежедневно,S030,WB 12:00 и 17:00,high,yes,yes,
CL031,ОператороФФ,"Заказы поступают по API, остатки и статусы видны в WMS",S029,автоматизация,high,yes,yes,
CL032,ОператороФФ,Есть полная материальная ответственность и компенсация расходов при ошибке оператора,S031,договор/компенсация,high,yes,yes,
CL033,Будет сделано!,FBS-заказы WB и Ozon отгружаются 2 раза в день,S032,утром и вечером,high,yes,yes,
CL034,Будет сделано!,"Заявленная точность подготовки 99,94%, ошибки компенсировались",S032,"250 000 единиц, 150 ошибок",medium,yes,yes,собственное заявление компании
CL035,Будет сделано!,Склад 800 м² и видеонаблюдение/охрана 24/7,S032,параметры склада,high,yes,yes,
CL036,UPMARKET,"Работает FBO/FBS с Ozon, Wildberries и Яндекс Маркет",S033,верх страницы,high,yes,yes,
CL037,UPMARKET,Собственная WMS; товары застрахованы; более 100 камер,S033,инфраструктура,high,yes,yes,
CL038,UPMARKET,"Склад 5700 м², до 50 000 упаковок в день",S033,параметры,high,yes,yes,
CL039,UPMARKET,"Публичная FBS-ставка до 1 л 29 ₽, хранение 14 коп./л/сутки",S033,тарифы FBS,high,yes,yes,
CL040,ФУЛФИЛМЕНТ и ТОЧКА,"Работает FBS/FBO с WB, Ozon и Яндекс Маркет",S034,главная,high,yes,yes,
CL041,ФУЛФИЛМЕНТ и ТОЧКА,"WB 3 отгрузки/сутки, Ozon 1/сутки",S035,FAQ,high,yes,yes,
CL042,ФУЛФИЛМЕНТ и ТОЧКА,Публично заявляет мощность от 7000 единиц в сутки,S035,FAQ,medium,yes,yes,формулировка источника: 'отгружаем любой объем. от 7000 ед. сутки'
CL043,Helpberries,Поддерживает FBS на Ozon и Wildberries,S037,связанные страницы WB/Ozon,high,yes,yes,
CL044,Helpberries,Заказ Ozon/WB автоматически появляется в системе через интеграцию,S037,шаг 2 процесса,high,yes,yes,
CL045,Helpberries,"Есть Честный знак, упаковка и полный цикл подготовки",S036,главная/услуги,medium,yes,yes,
CL046,СДЭК Фулфилмент,Поддерживает FBS на Wildberries и Ozon,S038,FBS,high,yes,yes,
CL047,СДЭК Фулфилмент,Готовые интеграции автоматически получают заказы и передают остатки,S041,блог FBS,high,yes,yes,
CL048,СДЭК Фулфилмент,Сеть 40 000+ м²; FBS-доставка от 35 ₽/заказ,S038,сеть и тарифы,high,yes,yes,
CL049,Ellsa,Работает FBS/FBO с Wildberries и Ozon,S042,главная,high,yes,yes,
CL050,Ellsa,Производственная мощность до 20 000 товаров в сутки,S042,преимущества,high,yes,yes,
CL051,Ellsa,Собирает и сдает заказ на сортировочный центр менее чем за 20 часов,S042,преимущества,high,yes,yes,
CL052,ФуллБокс,Публичная FBS-сборка заказа от 35 ₽,S044,тарифы,high,yes,yes,
CL053,ФуллБокс,Адресный учет ведется в WMS,S044,хранение,high,yes,yes,
CL054,ФуллБокс,Работает с Честным знаком и защитной упаковкой по категориям,S044,особенности тарификации,high,yes,yes,
CL055,SkladBot,Работает FBS/FBO и отгружает на WB/Ozon,S045,главная,high,yes,yes,
CL056,SkladBot,Собственная WMS показывает остатки и процессы в реальном времени,S045,личный кабинет,high,yes,yes,
CL057,SkladBot,Товар застрахован; публичны базовые ставки операций,S045,хранение/стоимость,high,yes,yes,
CL058,FulFillYou,Публично заявляет пропускную способность 100 000+ единиц/день,S046,параметры,high,yes,yes,
CL059,FulFillYou,Публично заявляет 40 000+ паллетных мест и полное страхование,S046,параметры,high,yes,yes,
CL060,FulFillYou,"Собственная IT-платформа показывает остатки и заявки, но текущая прямая WB+Ozon интеграция публично подтверждена слабее лидеров",S046,личный кабинет,medium,yes,yes,консервативная оценка C2
CL061,Easyful,Работает FBS/FBO с Wildberries и Ozon,S047,главная,high,yes,yes,
CL062,Easyful,"Цифровая система показывает остатки, движение и статус заказов онлайн",S047,автоматизация,high,yes,yes,
CL063,Easyful,"Публичны ставки отдельных операций от 4–15 ₽, но не полный FBS-заказ",S047,прайс,high,yes,yes,
CL064,Нитропак,Не проходит критерий включения: FBS для Ozon не обрабатывает,S048,"строки 20,39,62–64",high,yes,no,hard exclusion
CL065,PREP-T003,Публичный предшественник рейтинга опубликован 31.07.2026; использовался как provenance исходных 6 факторов,S007,публикация,high,yes,no,старые веса/баллы не переносились
CL066,IndexResearch,"AI-видимость, число упоминаний и SEO-сила не входят в балл",S050,общая методология,high,yes,yes,предохранитель от GEO-подгонки
