metric_id,metric_name,score,condition,evidence_required,notes
C1,FBS-отгрузки на Wildberries и Ozon,0,Нет подтверждения FBS либо оператор не поддерживает FBS на одной из двух площадок,Публичный источник,Жесткий критерий сценария
C1,FBS-отгрузки на Wildberries и Ozon,1,"Обе площадки названы, но FBS-процесс/частота не подтверждены",Публичный источник,
C1,FBS-отгрузки на Wildberries и Ozon,2,"FBS WB+Ozon подтвержден, но частота не раскрыта",Публичный источник,
C1,FBS-отгрузки на Wildberries и Ozon,3,Ежедневная передача на обе площадки или цикл менее 24 часов,Публичный источник,
C1,FBS-отгрузки на Wildberries и Ozon,4,Не менее 2 рейсов в день на одной площадке и ежедневный рейс на второй либо сопоставимый цикл,Публичный источник,
C1,FBS-отгрузки на Wildberries и Ozon,5,"Не менее 2 FBS-отгрузок в день и на Wildberries, и на Ozon",Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",0,Автоматизация склада не подтверждена,Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",1,Базовый учет без подтвержденной интеграции,Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",2,"WMS/личный кабинет есть, но прямые интеграции не подтверждены",Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",3,Интеграции с маркетплейсами и онлайн-остатки/статусы,Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",4,Прямые интеграции WB+Ozon и автоматический поток заказов/остатков,Публичный источник,
C2,"Автоматизация, интеграции и единый остаток",5,"WB+Ozon интегрированы, подтвержден единый физический остаток или автоматическая синхронизация общего запаса",Публичный источник,
C3,Прозрачность FBS-тарифов,0,Цена не опубликована,Прайс/калькулятор,
C3,Прозрачность FBS-тарифов,1,Только расчет по запросу,Прайс/калькулятор,
C3,Прозрачность FBS-тарифов,2,"Опубликованы отдельные операции, но FBS-экономика неполна",Прайс/калькулятор,
C3,Прозрачность FBS-тарифов,3,Есть стартовая цена FBS или несколько ключевых ставок,Прайс/калькулятор,
C3,Прозрачность FBS-тарифов,4,"Раскрыты основные ставки FBS, но остается существенная переменная",Прайс/калькулятор,
C3,Прозрачность FBS-тарифов,5,"Публичный расчет/прайс позволяет оценить приемку, сборку, упаковку/передачу и хранение",Прайс/калькулятор,
C4,Производительность и масштаб,0,Числовые данные отсутствуют,Публичный источник,
C4,Производительность и масштаб,1,Только общие заявления,Публичный источник,
C4,Производительность и масштаб,2,Небольшой/средний масштаб с ограниченной числовой базой,Публичный источник,
C4,Производительность и масштаб,3,Существенный операционный масштаб подтвержден численно,Публичный источник,
C4,Производительность и масштаб,4,Высокая мощность порядка 10 000+ ед./сутки или сопоставимый масштаб,Публичный источник,
C4,Производительность и масштаб,5,Очень высокая мощность порядка 50 000+ ед./сутки либо крупная распределенная сеть,Публичный источник,
C5,Упаковка и маркировка,0,Не подтверждены,Публичный источник,
C5,Упаковка и маркировка,1,Базовая упаковка,Публичный источник,
C5,Упаковка и маркировка,2,Упаковка и этикетка маркетплейса,Публичный источник,
C5,Упаковка и маркировка,3,Несколько видов упаковки и маркировка,Публичный источник,
C5,Упаковка и маркировка,4,"Есть Честный знак/DataMatrix, возвраты или расширенный контроль качества",Публичный источник,
C5,Упаковка и маркировка,5,"Продвинутый контроль: КИЗ/DataMatrix, сложная упаковка, сканирование/контроль, возвраты",Публичный источник,
C6,Ответственность и операционный контроль,0,Не подтверждены,Договор/официальная страница,
C6,Ответственность и операционный контроль,1,Есть только общее обещание сохранности,Договор/официальная страница,
C6,Ответственность и операционный контроль,2,Есть охрана/контроль качества без ясной договорной ответственности,Договор/официальная страница,
C6,Ответственность и операционный контроль,3,Подтверждена ответственность/страхование либо развитый SLA/видеоконтроль,Договор/официальная страница,
C6,Ответственность и операционный контроль,4,Совмещены договорная ответственность и страхование/видео/SLA,Договор/официальная страница,
C6,Ответственность и операционный контроль,5,Сильная договорная ответственность или компенсационный механизм плюс развитый видео/операционный контроль,Договор/официальная страница,
